year,gdp_rate,cpi,labor,tax,fdi_in,fdi_out,unem_spend,min_wage,debt,r&d
1990,1.885964957,59.91976049,127352635,30.55327273,1.194504107,1.005174452,0.417,3.8,53.62628,2.556
1991,-0.1082647909,62.45734075,128277995,30.55327273,0.5610470323,0.8000806739,0.462,4.25,58.72731,2.621
1992,3.522440527,64.34906098,130387362,30.55327273,0.4648539866,0.9013351631,0.632,4.25E+00,6.17E+01,2.543
1993,2.751781051,66.24842452,131792391,30.55327273,0.7323695838,1.207250678,0.573,4.25,63.88784,2.423
1994,4.02879326,67.9758135,134076656,30.55327273,0.7676435894,1.234898938,0.418,4.25,64.20296,2.328
1995,2.684217272,69.88282035,135975699,30.55327273,0.9042181883,1.440623246,0.335,4.25,6.47E+01,2.41
1996,3.772565499,71.93122852,138055164,30.55327273,1.209693103,1.276086253,0.328,4.75E+00,64.49827,2.45
1997,4.447174945,73.61275761,140577815,30.55327273,1.424065573,1.415088655,0.253,5.15,63.17769,2.477
1998,4.481394432,74.75543306,142198644,30.55327273,2.329849229,1.9283185,0.227,5.15,61.33893,2.496
1999,4.794499045,76.39110227,144105400,30.55327273,3.244142242,2.5696243,0.232,5.15,58.99429,2.544
2000,4.077159479,78.97072076,146165420,30.843,3.405782569,1.818075753,0.212,5.15,55.61407,2.62
2001,0.9543387287,81.20256846,147200478,30.74,1.630099648,1.380097989,0.273,5.15,54.93145,2.637
2002,1.695942923,82.49046688,148166545,30.584,1.016139191,1.637690092,0.47,5.15,56.64506,2.547
2003,2.796209101,84.36307882,148886199,30.46,1.02218472,1.704001987,0.486,5.15,58.71754,2.55
2004,3.852552601,86.62167812,150113021,30.483,1.748691345,3.061292344,0.359,5.15,60.11638,2.487
2005,3.48322032,89.56053237,152044687,30.418,1.091662133,0.4033299839,0.257,5.15,60.8083,2.502
2006,2.782810626,92.44970508,154153998,30.552,2.160335287,2.054208779,0.233,5.15,61.48438,2.545
2007,2.010507552,95.08699238,155503656,30.917,2.394690938,3.619467923,0.233,5.85,62.09817,2.615
2008,0.122188443,98.73747739,157246178,30.062,2.309379021,2.32624445,0.296,6.55,67.13855,2.745
2009,-2.599888351,98.38641997,157377616,30.279,1.112600342,2.159107598,0.836,7.25,80.96044,2.792
2010,2.708856694,100,157357520,30.748,1.754532686,2.324598488,1.057,7.25,88.95418,2.714
