NAICS,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
311,1506.741667,1514.575,1518.516667,1535.316667,1540.125,1560.725,1561.975,1557.408333,1555.416667,1550.391667,1553.4,1550.391667,1524.933333,1517.408333,1494.05,1477.608333,1479.433333,1483.733333,1480.3,1456.825,1450.883333
321,542.9916667,500.7333333,504.0833333,526.5833333,563.0916667,576.3,585.2833333,597.5833333,611.4833333,622.8416667,615.4666667,576.3916667,557.0583333,539.425,551.7666667,561.1833333,560.7166667,516.9916667,457.7916667,360.3916667,341.9333333
"322,323",1455.633333,1430.591667,1420.091667,1425.05,1441.691667,1456.816667,1447.033333,1451.5,1452.875,1430.175,1411.533333,1346.15,1253.25,1196.7,1158.125,1130.516667,1104.825,1080.166667,1038.941667,928.725,882.3583333
325,1035.833333,1024.283333,1029.125,1024.7,1004.6,987.7833333,984.625,986.9333333,992.7666667,982.6,980.3,958.8916667,927.4,905.95,887.2166667,872.2583333,866.1166667,861.1333333,846.8583333,804.0833333,786.2583333
326,824.9,802.0083333,818.0083333,847.9833333,888.55,914.0083333,918.5916667,932.5333333,941.425,946.975,950.8583333,896.275,846.5333333,814.0583333,804.6333333,802.0916667,785.7333333,756.9916667,728.8666667,624.5416667,625.05
327,528.2583333,494.5333333,487.7,491.4416667,505.2,513.05,517.025,525.8833333,535.5916667,541.075,554.275,544.3916667,515.7333333,494.325,505.5583333,505.0166667,509.8083333,500.4916667,465.4083333,394.45,370.8583333
331,688.4166667,655.975,630.525,618.6916667,630.5333333,641.65,639.15,638.625,641.5916667,625.2166667,622.0416667,570.6916667,509.0916667,477.2416667,466.8416667,466.0833333,463.6666667,455.5333333,441.7916667,361.975,362.2166667
332,1610.141667,1541.558333,1497.3,1509.591667,1565.658333,1623.875,1647.616667,1695.65,1739.233333,1727.958333,1752.891667,1676.583333,1548.566667,1478.691667,1496.591667,1521.691667,1552.608333,1562.308333,1527.316667,1312.291667,1282.166667
333,1409.725,1347.7,1311.666667,1331.133333,1381.25,1442.391667,1468.766667,1496.016667,1514.566667,1468.45,1456.983333,1370.316667,1231.566667,1151.8,1145.133333,1164.433333,1182.833333,1186.933333,1187.425,1029.016667,996.225
334,1902.4,1809.408333,1707.208333,1655.975,1650.983333,1688.541667,1746.725,1803.208333,1830.866667,1780.708333,1820.25,1748.708333,1507.25,1355.041667,1322.616667,1316.275,1307.575,1272.466667,1243.908333,1136.65,1094.491667
335,633.0083333,597.6666667,579.525,575.85,588.6333333,592.9583333,590.9416667,586.2416667,591.575,588.075,591.0416667,556.8833333,496.5,459.375,444.9416667,433.6333333,432.775,429.4583333,424.2166667,373.3083333,359.375
336,2134.875,2029.741667,1978.85,1915.408333,1937.6,1978.475,1975.066667,2027.65,2078.391667,2088.358333,2056.85,1938.941667,1830.125,1775.183333,1766.733333,1772.266667,1768.891667,1711.783333,1607.908333,1347.958333,1333.025
337,602.1083333,561.6333333,562.9416667,575.6833333,600.7666667,607.425,604.325,615.2916667,641.2583333,665.0166667,680.3416667,643.2166667,604.9,573.5333333,574.0333333,566.55,558.7,529.6333333,477.9583333,384.1416667,357.0416667
339,685.725,681.7916667,687.6166667,702.5,709.1083333,710.0166667,710.8083333,718.3416667,726.6583333,723.9333333,728.2083333,709.5416667,683.2833333,658.3583333,650.4333333,647.4666667,644.1333333,641.7666667,628.8583333,584.1333333,566.8
