NAICS,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
311,203,177,197,184,161,164,186,152,200,284,268,277,236,217,205,103,123,101,81,98,148
321,83,82,76,66,77,69,73,87,105,102,107,121,108,100,86,71,68,46,39,60,100
"322,323",284,301,293,307,321,296,291,349,377,385,366,416,403,357,322,254,213,217,204,203,310
325,6589,6827,7015,7249,6580,6731,6885,7779,9480,9539,9123,10061,10018,9148,7770,6282,7860,7277,7099,7575,10451
326,1883,1967,2099,2138,2088,1965,1896,2004,2482,2571,2640,2742,2795,2730,2548,1782,1703,1551,1379,1494,2364
327,784,908,913,884,833,751,737,927,1045,1141,1056,1216,1295,1300,1257,936,936,790,721,732,1254
331,461,471,441,495,469,470,425,376,509,552,517,637,643,579,485,356,308,290,286,363,508
332,3092,3044,2765,2546,2655,2503,2568,2562,3297,3696,3859,4047,4201,3918,3597,3107,3222,2741,2509,2622,3411
333,9652,10220,9944,9435,9123,8688,9251,9498,12237,12290,13049,13411,12909,12913,12480,10442,12061,10722,10809,10572,13555
334,11656,12805,13041,13805,15011,15856,17402,17252,25150,25800,27235,29858,31974,34233,35951,32495,42286,39976,43229,46622,60350
335,2811,2852,2925,2930,3007,3011,3329,3607,4964,5296,5853,6340,6670,6637,7019,6243,7335,6659,6672,7574,9486
336,2629,2753,2603,2386,2230,2170,2383,2327,3068,3368,3765,4480,4380,4244,4042,3759,4104,3869,3852,3629,4627
337,111,126,141,103,155,149,168,170,197,220,256,216,266,251,255,222,235,198,209,223,308
339,2281,2341,2266,2132,2450,2372,2441,2646,3422,3600,3637,3901,3756,3875,3369,2661,3025,2896,2771,2813,4290
