NAICS,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
311,9.04,9.32,9.59,9.82,10,10.26,10.5,10.77,11.09,11.41,11.77,12.18,12.55,12.8,12.98,13.04,13.13,13.55,14,14.39,14.41
321,8.82,9.02,9.24,9.4,9.66,9.92,10.24,10.53,10.85,11.18,11.63,11.99,12.33,12.71,13.03,13.16,13.39,13.68,14.19,14.92,14.85
"322,323",11.585,11.885,12.155,12.4,12.69,13.01,13.395,13.77,14.2,14.625,15,15.43,15.89,16.35,16.81,16.865,16.905,17.295,17.82,18.02,18.475
325,12.85,13.3,13.7,13.97,14.33,14.86,15.37,15.78,16.23,16.4,17.09,17.57,17.97,18.5,19.17,19.67,19.6,19.55,19.5,20.3,21.07
326,9.76,10.07,10.35,10.56,10.67,10.86,11.17,11.48,11.79,12.25,12.7,13.21,13.55,14.18,14.59,14.8,14.97,15.39,15.85,16.01,15.71
327,11.11,11.34,11.57,11.83,12.11,12.39,12.8,13.17,13.59,13.97,14.53,14.86,15.39,15.76,16.25,16.61,16.59,16.93,16.9,17.28,17.48
331,12.97,13.37,13.72,14.08,14.47,14.75,15.12,15.39,15.66,16,16.64,17.06,17.68,18.13,18.57,18.94,19.36,19.66,20.19,20.1,20.13
332,10.64,10.97,11.17,11.4,11.64,11.91,12.26,12.64,12.97,13.34,13.77,14.19,14.68,15.01,15.31,15.81,16.17,16.53,16.99,17.48,17.94
333,11.73,12.12,12.4,12.72,12.94,13.13,13.49,13.94,14.23,14.77,15.21,15.48,15.92,16.29,16.67,17.02,17.2,17.72,17.97,18.38,18.96
334,10.89,11.35,11.64,11.95,12.19,12.29,12.75,13.24,13.85,14.37,14.73,15.42,16.2,16.68,17.27,18.39,18.94,19.94,21.04,21.87,22.78
335,10,10.3,10.5,10.65,10.94,11.25,11.8,12.24,12.51,12.9,13.23,13.78,13.98,14.36,14.9,15.24,15.53,15.93,15.78,16.27,16.87
336,14.44,15.12,15.59,16.21,16.93,17.21,17.66,17.99,17.91,18.24,18.89,19.47,20.63,21.22,21.48,22.09,22.41,23.03,23.85,24.98,25.23
337,8.53,8.75,9.01,9.25,9.52,9.76,10.09,10.5,10.89,11.28,11.73,12.14,12.62,12.99,13.16,13.45,13.8,14.32,14.54,15.04,15.06
338,8.87,9.15,9.43,9.64,9.9,10.23,10.59,10.89,11.18,11.55,11.93,12.45,12.91,13.3,13.84,14.07,14.36,14.66,15.2,16.13,16.56
